"Table_Number","Year","Measure","Age","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"3A.2","2015","Estimated resident population at 30 June","5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","5 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6234","1354","5486","2257","1051","667","181","1570","","","18802"
"3A.2","2015","Estimated resident population at 30 June","3-5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3-5 years old","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","18910","4025","16355","6782","3070","1962","508","4612","","","56237"
"3A.3","2019","Population estimates; YBFS","All ages","All people","All areas","","Population estimates; children aged in state-specific YBFS","All children","","","","","","ABS (unpublished) Preschool Education","no.","109056","86258","64956","34826","20178","6179","5840","3554","","","330847"
"3A.3","2019","Population estimates; YBFS","All ages","Aboriginal and Torres Strait Islander","All areas","","Population estimates; children aged in state-specific YBFS","Aboriginal and Torres Strait Islander children","","","","","","ABS (unpublished) Preschool Education","no.","6598","1389","5469","2303","995","617","177","1427","","","18975"
"3A.3","2018","Population estimates; YBFS","All ages","All people","All areas","","Population estimates; children aged in state-specific YBFS","All children","","","","","","ABS (unpublished) Preschool Education","no.","107426","84033","64805","34239","20323","6170","5642","3590","","","326228"
"3A.3","2018","Population estimates; YBFS","All ages","Aboriginal and Torres Strait Islander","All areas","","Population estimates; children aged in state-specific YBFS","Aboriginal and Torres Strait Islander children","","","","","","ABS (unpublished) Preschool Education","no.","6628","1497","5329","2352","1001","594","175","1400","","","18976"
"3A.3","2017","Population estimates; YBFS","All ages","All people","All areas","","Population estimates; children aged in state-specific YBFS","All children","","","","","","ABS (unpublished) Preschool Education","no.","108398","84154","64646","34546","20966","6102","5657","3693","","","328162"
"3A.3","2017","Population estimates; YBFS","All ages","Aboriginal and Torres Strait Islander","All areas","","Population estimates; children aged in state-specific YBFS","Aboriginal and Torres Strait Islander children","","","","","","ABS (unpublished) Preschool Education","no.","6991","1472","5356","2307","979","643","194","1432","","","19374"
"3A.3","2016","Population estimates; YBFS","All ages","All people","All areas","","Population estimates; children aged in state-specific YBFS","All children","","","","","","ABS (unpublished) Preschool Education","no.","103025","76340","61850","34658","20652","6492","5416","3715","","","312148"
"3A.3","2016","Population estimates; YBFS","All ages","Aboriginal and Torres Strait Islander","All areas","","Population estimates; children aged in state-specific YBFS","Aboriginal and Torres Strait Islander children","","","","","","ABS (unpublished) Preschool Education","no.","7125","1392","5110","2225","1011","614","162","1480","","","19119"
"3A.4","2019-20","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Recurrent expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","470990","523595","289628","347149","208822","42048","48936","66870","1998038","8521835","10519873"
"3A.4","2019-20","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Net capital expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","12923","30137","2929","30420","142","28","1363","1472","79414","1364","80778"
"3A.4","2019-20","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Total expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","483913","553732","292557","377569","208964","42076","50299","68342","2077453","8523199","10600651"
"3A.4","2018-19","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Recurrent expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","442317","459466","274072","369377","206273","58512","48287","64092","1922396","7987530","9909927"
"3A.4","2018-19","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Net capital expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","7254","29995","3557","29130","6190","453","936","7465","84981","1432","86413"
"3A.4","2018-19","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Total expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","449571","489461","277629","398507","212463","58965","49223","71558","2007377","7988962","9996340"
"3A.4","2017-18","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Recurrent expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","388233","427160","263486","337559","204684","55040","44652","65567","1786381","7738851","9525232"
"3A.4","2017-18","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Net capital expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","7856","18881","2907","32759","9798","0","1056","5102","78360","10851","89211"
"3A.4","2017-18","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Total expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","396088","446042","266394","370318","214482","55040","45708","70668","1864740","7749702","9614443"
"3A.4","2016-17","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Recurrent expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","379788","409305","265929","335398","203010","53648","45038","61846","1753962","8070624","9824586"
"3A.4","2016-17","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Net capital expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","2366","14115","1468","26278","8813","318","920","10505","64783","8650","73433"
"3A.4","2016-17","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Total expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","382154","423420","267398","361676","211823","53965","45958","72351","1818745","8079274","9898019"
"3A.4","2015-16","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Recurrent expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","325988","385215","253112","341929","195170","53536","43916","55926","1654791","7914891","9569682"
"3A.4","2015-16","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Net capital expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1657","13398","16812","17486","16775","52","3624","8120","77925","10290","88215"
"3A.4","2015-16","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Total expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","327646","398613","269923","359416","211945","53588","47540","64046","1732717","7925181","9657899"
"3A.4","2014-15","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Recurrent expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","268112","351991","253890","318110","179791","52497","42088","57543","1524022","7619887","9143909"
"3A.4","2014-15","Recurrent expenditure","All ages","All people","All areas","2019-20 dollars","Total government real expenditure","Total ECEC services","Net capital expenditure","","","","","Derived from State and Territory governments (unpublished); Australian Government Department of Education Skills and Employment (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","0","8241","7606","20144","2089","373","4214","1499","44166","28033","72200"
